IP地址,数据中心,地区,城市,网络延迟
1.0.0.107,SJC,北美洲,圣何塞,169 ms
198.41.195.193,SJC,北美洲,圣何塞,173 ms
1.0.0.246,SJC,北美洲,圣何塞,173 ms
1.0.0.216,SJC,北美洲,圣何塞,173 ms
141.101.123.16,SJC,北美洲,圣何塞,174 ms
1.0.0.59,SJC,北美洲,圣何塞,175 ms
1.0.0.147,SJC,北美洲,圣何塞,175 ms
162.159.8.237,SJC,北美洲,圣何塞,176 ms
104.16.6.158,SJC,北美洲,圣何塞,177 ms
162.159.4.40,SJC,北美洲,圣何塞,177 ms
1.0.0.108,SJC,北美洲,圣何塞,177 ms
162.159.2.144,SJC,北美洲,圣何塞,179 ms
1.0.0.194,SJC,北美洲,圣何塞,180 ms
162.159.0.252,SJC,北美洲,圣何塞,180 ms
1.0.0.178,SJC,北美洲,圣何塞,181 ms
104.16.2.161,SJC,北美洲,圣何塞,181 ms
1.1.1.105,SJC,北美洲,圣何塞,182 ms
162.159.3.210,SJC,北美洲,圣何塞,182 ms
198.41.194.169,SJC,北美洲,圣何塞,183 ms
1.0.0.126,SJC,北美洲,圣何塞,184 ms
1.0.0.160,SJC,北美洲,圣何塞,184 ms
1.0.0.187,SJC,北美洲,圣何塞,185 ms
108.162.196.60,SJC,北美洲,圣何塞,186 ms
5.182.84.128,SJC,北美洲,圣何塞,186 ms
198.41.196.205,SJC,北美洲,圣何塞,188 ms
162.159.25.210,SJC,北美洲,圣何塞,192 ms
162.159.5.49,SJC,北美洲,圣何塞,194 ms
173.245.49.116,SJC,北美洲,圣何塞,196 ms
104.16.9.18,SJC,北美洲,圣何塞,198 ms
104.16.7.173,SJC,北美洲,圣何塞,199 ms
104.16.5.40,SJC,北美洲,圣何塞,202 ms
104.23.139.248,IAD,北美洲,阿什本,203 ms
188.114.97.43,LHR,欧洲,伦敦,204 ms
162.159.32.10,SJC,北美洲,圣何塞,205 ms
188.114.99.66,LHR,欧洲,伦敦,205 ms
198.41.205.101,SJC,北美洲,圣何塞,208 ms
198.41.207.51,SJC,北美洲,圣何塞,209 ms
188.114.96.239,LHR,欧洲,伦敦,210 ms
162.159.17.114,SJC,北美洲,圣何塞,210 ms
104.23.136.146,IAD,北美洲,阿什本,211 ms
104.27.21.199,IAD,北美洲,阿什本,213 ms
104.23.143.17,IAD,北美洲,阿什本,213 ms
198.41.212.143,IAD,北美洲,阿什本,215 ms
162.159.22.179,SJC,北美洲,圣何塞,216 ms
104.24.36.1,IAD,北美洲,阿什本,216 ms
104.27.27.152,IAD,北美洲,阿什本,217 ms
104.27.23.223,IAD,北美洲,阿什本,219 ms
104.24.10.9,IAD,北美洲,阿什本,219 ms
104.23.142.4,IAD,北美洲,阿什本,219 ms
23.227.38.92,SJC,北美洲,圣何塞,220 ms
104.23.133.211,IAD,北美洲,阿什本,220 ms
104.23.131.210,IAD,北美洲,阿什本,224 ms
104.23.137.245,IAD,北美洲,阿什本,224 ms
104.27.45.186,IAD,北美洲,阿什本,225 ms
104.27.7.35,IAD,北美洲,阿什本,225 ms
104.23.134.76,IAD,北美洲,阿什本,225 ms
104.23.138.208,IAD,北美洲,阿什本,228 ms
188.114.98.121,LHR,欧洲,伦敦,228 ms
104.23.132.210,IAD,北美洲,阿什本,229 ms
162.159.1.49,SJC,北美洲,圣何塞,229 ms
5.10.245.248,SJC,北美洲,圣何塞,229 ms
104.27.39.13,IAD,北美洲,阿什本,231 ms
104.24.14.98,IAD,北美洲,阿什本,231 ms
104.23.140.96,IAD,北美洲,阿什本,232 ms
104.23.105.251,IAD,北美洲,阿什本,235 ms
104.27.19.102,IAD,北美洲,阿什本,239 ms
198.41.222.117,SJC,北美洲,圣何塞,241 ms
104.23.129.83,IAD,北美洲,阿什本,241 ms
104.27.46.151,IAD,北美洲,阿什本,242 ms
198.41.192.235,SJC,北美洲,圣何塞,243 ms
104.23.135.113,IAD,北美洲,阿什本,245 ms
104.23.107.75,IAD,北美洲,阿什本,247 ms
104.23.130.104,IAD,北美洲,阿什本,248 ms
198.41.218.210,SJC,北美洲,圣何塞,250 ms
104.23.128.95,IAD,北美洲,阿什本,251 ms
104.24.37.203,IAD,北美洲,阿什本,253 ms
162.159.21.160,SJC,北美洲,圣何塞,254 ms
104.24.48.162,IAD,北美洲,阿什本,255 ms
198.41.203.238,SJC,北美洲,圣何塞,255 ms
104.27.15.47,IAD,北美洲,阿什本,258 ms
104.27.17.112,IAD,北美洲,阿什本,266 ms
162.159.6.65,SJC,北美洲,圣何塞,277 ms
162.159.15.182,SJC,北美洲,圣何塞,291 ms
104.24.33.139,IAD,北美洲,阿什本,297 ms
104.23.101.187,IAD,北美洲,阿什本,300 ms
104.24.38.37,IAD,北美洲,阿什本,301 ms
198.41.198.54,SJC,北美洲,圣何塞,304 ms
104.24.34.84,IAD,北美洲,阿什本,312 ms
104.24.5.72,IAD,北美洲,阿什本,312 ms
141.101.115.254,SJC,北美洲,圣何塞,316 ms
104.23.115.124,IAD,北美洲,阿什本,316 ms
190.93.244.166,SJC,北美洲,圣何塞,317 ms
104.24.24.158,IAD,北美洲,阿什本,317 ms
198.41.206.231,SJC,北美洲,圣何塞,329 ms
198.41.202.239,SJC,北美洲,圣何塞,330 ms
190.93.245.176,SJC,北美洲,圣何塞,344 ms
198.41.193.196,SJC,北美洲,圣何塞,345 ms
141.101.114.193,SJC,北美洲,圣何塞,349 ms
185.146.173.14,SJC,北美洲,圣何塞,349 ms
108.162.194.91,SJC,北美洲,圣何塞,359 ms
104.27.13.56,IAD,北美洲,阿什本,361 ms
198.41.211.104,SJC,北美洲,圣何塞,365 ms
173.245.59.254,SJC,北美洲,圣何塞,371 ms
104.23.102.43,IAD,北美洲,阿什本,376 ms
104.23.118.91,IAD,北美洲,阿什本,377 ms
198.41.204.80,SJC,北美洲,圣何塞,382 ms
104.23.104.86,IAD,北美洲,阿什本,385 ms
104.27.20.154,IAD,北美洲,阿什本,393 ms
190.93.246.0,SJC,北美洲,圣何塞,397 ms
108.162.192.190,SJC,北美洲,圣何塞,398 ms
104.24.11.101,IAD,北美洲,阿什本,400 ms
104.24.22.209,IAD,北美洲,阿什本,406 ms
104.23.106.189,IAD,北美洲,阿什本,407 ms
104.18.10.144,SJC,北美洲,圣何塞,409 ms
198.41.199.220,SJC,北美洲,圣何塞,410 ms
104.23.98.25,IAD,北美洲,阿什本,426 ms
104.27.6.222,IAD,北美洲,阿什本,437 ms
104.24.3.94,IAD,北美洲,阿什本,440 ms
104.27.5.206,IAD,北美洲,阿什本,443 ms
104.24.7.205,IAD,北美洲,阿什本,444 ms
104.27.4.109,IAD,北美洲,阿什本,445 ms
104.24.23.214,IAD,北美洲,阿什本,453 ms
141.101.113.226,IAD,北美洲,阿什本,467 ms
104.27.2.150,IAD,北美洲,阿什本,479 ms
104.24.20.246,IAD,北美洲,阿什本,490 ms
104.23.99.57,IAD,北美洲,阿什本,497 ms
104.24.4.91,IAD,北美洲,阿什本,509 ms
141.101.121.235,SJC,北美洲,圣何塞,515 ms
104.27.3.81,IAD,北美洲,阿什本,518 ms
104.27.0.198,IAD,北美洲,阿什本,519 ms
141.101.122.152,SJC,北美洲,圣何塞,520 ms
104.24.1.93,IAD,北美洲,阿什本,527 ms
104.23.96.58,IAD,北美洲,阿什本,578 ms
104.27.1.130,IAD,北美洲,阿什本,593 ms
